submissionId,userId,userName,projectName,firstLine,month,day,currentWeekOfIso,targetYear,reviewerDecision
cmqqytg4n00mistjk766my98d,import-dawn-lamb,Dawn Lamb,2025 Printer Refresh 2nd Order CY24,1/21:  Damaged Printer was picked up,1,21,2025-01-28T22:00:00.000Z,2025,
cmqqytg4800mgstjkql23zlkj,import-dawn-lamb,Dawn Lamb,2025 Printer Refresh 2nd Order CY24,1/5:,1,5,2025-01-14T22:00:00.000Z,2025,
cmqqytg1j00m2stjknw06vaad,import-dawn-lamb,Dawn Lamb,2025 Printer Refresh 2nd Order CY24,"10/14:  COR created sharepoint site for all POC @ regions, HQ, and RTP to access documents pertaining to printer deliveries.",10,14,2025-10-21T21:00:00.000Z,2025,
cmqqytg1z00m4stjkaulu1a50,import-dawn-lamb,Dawn Lamb,2025 Printer Refresh 2nd Order CY24,10/15:  COR submitted PR to MOD existing contract award for installation in 2 regions (4 locations).  PR-OMS-26-00007 – MODP0001.,10,15,2025-10-21T21:00:00.000Z,2025,
cmqqytg2c00m6stjks9u1t3ad,import-dawn-lamb,Dawn Lamb,2025 Printer Refresh 2nd Order CY24,10/22:  Shipping and delivery are suspended until shutdown is over.  COR is waiting to hear about delivery to only the Landover Warehouse.,10,22,2025-11-04T22:00:00.000Z,2025,
cmqqytg1700m0stjkx3rdw2tu,import-dawn-lamb,Dawn Lamb,2025 Printer Refresh 2nd Order CY24,10/7:  COR created a PR mod to add installation to printer refresh order for Regions 3 and 4.  COR is waiting on Line of Accounting to come in from the Finance team.,10,7,2025-10-07T21:00:00.000Z,2025,
cmqqytg3300mastjk6wv776i7,import-dawn-lamb,Dawn Lamb,2025 Printer Refresh 2nd Order CY24,11/17:,11,17,2025-11-18T22:00:00.000Z,2025,
cmqqytg3g00mcstjkr2iozhc7,import-dawn-lamb,Dawn Lamb,2025 Printer Refresh 2nd Order CY24,11/26:,11,26,2025-12-02T22:00:00.000Z,2025,
cmqqytg2p00m8stjkf5i6lz1f,import-dawn-lamb,Dawn Lamb,2025 Printer Refresh 2nd Order CY24,"11/3:  Later determined that Landover Warehouse will have someone available if EPA is fully involved with the Government shutdown.  Estimated delivery for Landover Warehouse will happen the week of November 17, 2025.  Landover Warehouse has a contractor who is essential and will be notified via email with a definite delivery date.",11,3,2025-11-04T22:00:00.000Z,2025,
cmqqytg3u00mestjkr4cw36yl,import-dawn-lamb,Dawn Lamb,2025 Printer Refresh 2nd Order CY24,12/3:,12,3,2025-12-16T22:00:00.000Z,2025,
cmqqytg0t00lystjkmdwwz6xe,import-dawn-lamb,Dawn Lamb,2025 Printer Refresh 2nd Order CY24,2/11:  COR approved invoice for Ladover Warehouse – that excluded a damaged printer.  Waiting on next steps for damaged pritner to be delivered to Landover Warehouse.,2,11,2025-02-11T22:00:00.000Z,2025,
cmqqytg5000mkstjkt91gzot4,import-dawn-lamb,Dawn Lamb,2025 Printer Refresh 2nd Order CY24,2/5:,2,5,2025-02-11T22:00:00.000Z,2025,
cmqqyte8100c8stjk89gmocn0,import-shela-poke-williams,Shela Poke-Williams,Abaco Blackfish,01/28:,1,28,2025-01-28T22:00:00.000Z,2025,
cmqqyte8e00castjkwn8stjf7,import-shela-poke-williams,Shela Poke-Williams,Abaco Blackfish,02/10:,2,10,2025-02-11T22:00:00.000Z,2025,
cmqqyte8q00ccstjk08b7csbz,import-shela-poke-williams,Shela Poke-Williams,Abaco Blackfish,2/24:,2,24,2025-02-25T22:00:00.000Z,2025,
cmqqyte9e00cgstjkmlpjp5x4,import-shela-poke-williams,Shela Poke-Williams,Abaco Blackfish,3/24,3,24,2025-03-25T21:00:00.000Z,2025,
cmqqyte9300cestjk1qfzyref,import-shela-poke-williams,Shela Poke-Williams,Abaco Blackfish,3/9:,3,9,2025-03-11T21:00:00.000Z,2025,
cmqqyte9p00cistjkgmtw2yf8,import-shela-poke-williams,Shela Poke-Williams,Abaco Blackfish,4/09,4,9,2025-04-22T21:00:00.000Z,2025,
cmqqytea100ckstjkthqalu3y,import-shela-poke-williams,Shela Poke-Williams,Abaco Blackfish,4/21,4,21,2025-04-22T21:00:00.000Z,2025,
cmqqytead00cmstjk8uifxe5o,import-shela-poke-williams,Shela Poke-Williams,Abaco Blackfish,4/30,4,30,2025-05-06T21:00:00.000Z,2025,
cmqqyteap00costjkubacb82w,import-shela-poke-williams,Shela Poke-Williams,Abaco Blackfish,5/19,5,19,2025-05-20T21:00:00.000Z,2025,
cmqqyte6r00c0stjkm5zbfgc3,import-shela-poke-williams,Shela Poke-Williams,Abaco Blackfish,6/10,6,10,2025-06-17T21:00:00.000Z,2025,
cmqqytc270016stjkd93vfffw,import-garrett-hayes,Garrett Hayes,Adobe ELA,01/05:  PR-OFA-26-00131 submitted to contracts.  Purpose of this PR is to switch the COR and Alt. COR.,1,5,2025-01-14T22:00:00.000Z,2025,
cmqqytc2o0018stjk00k4qt6c,import-garrett-hayes,Garrett Hayes,Adobe ELA,1/13:  No changes/updates,1,13,2025-01-14T22:00:00.000Z,2025,
cmqqytc36001astjkikv5dirw,import-garrett-hayes,Garrett Hayes,Adobe ELA,1/27:  No changes/updates,1,27,2025-01-28T22:00:00.000Z,2025,
cmqqytc130012stjkx002272v,import-garrett-hayes,Garrett Hayes,Adobe ELA,11/26:  Awarded.,11,26,2025-12-02T22:00:00.000Z,2025,
cmqqytc1m0014stjkypkvcdxt,import-garrett-hayes,Garrett Hayes,Adobe ELA,12/23:,12,23,2025-12-30T22:00:00.000Z,2025,
cmqqytc3o001cstjk46ty839b,import-garrett-hayes,Garrett Hayes,Adobe ELA,2/10:  No Changes/updates,2,10,2025-02-11T22:00:00.000Z,2025,
cmqqytc3x001estjkbghxebhr,import-garrett-hayes,Garrett Hayes,Adobe ELA,2/24:  Starting recompete process for initial package development in June,2,24,2025-02-25T22:00:00.000Z,2025,
cmqqytc49001gstjkq9g8uujk,import-garrett-hayes,Garrett Hayes,Adobe ELA,3/10:  Developing IGCE for submission of EO compliance form for recompete period  11/27/26.,3,10,2025-03-11T21:00:00.000Z,2025,
cmqqytc4k001istjktnkjqkj6,import-garrett-hayes,Garrett Hayes,Adobe ELA,3/24:  FY26-27 CGER EO Compliance with IGCE Approved 3/20.,3,24,2025-03-25T21:00:00.000Z,2025,
cmqqytc0n0010stjkxoet5krq,import-garrett-hayes,Garrett Hayes,Adobe ELA,4/7: Recompete FY26-27 FITARA Submitted for review 3/31/26,4,7,2025-04-08T21:00:00.000Z,2025,
cmqqytc06000ystjkrto4t0y3,import-garrett-hayes,Garrett Hayes,Adobe ELA,5/19:,5,19,2025-05-20T21:00:00.000Z,2025,
cmqqytbzr000wstjkggtxokip,import-garrett-hayes,Garrett Hayes,Adobe ELA,6/1:,6,1,2025-06-03T21:00:00.000Z,2025,
cmqqytec800ctstjkqa85lw1u,import-shela-poke-williams,Shela Poke-Williams,Agile Decision Sciences,1/28:,1,28,2025-01-28T22:00:00.000Z,2025,
cmqqyteck00cvstjk67j1krij,import-shela-poke-williams,Shela Poke-Williams,Agile Decision Sciences,2/10:,2,10,2025-02-11T22:00:00.000Z,2025,
cmqqytecx00cxstjktm4gawj1,import-shela-poke-williams,Shela Poke-Williams,Agile Decision Sciences,2/24:,2,24,2025-02-25T22:00:00.000Z,2025,
cmqqytedm00d1stjk20tx8532,import-shela-poke-williams,Shela Poke-Williams,Agile Decision Sciences,3/24,3,24,2025-03-25T21:00:00.000Z,2025,
cmqqytedb00czstjk4804q0cx,import-shela-poke-williams,Shela Poke-Williams,Agile Decision Sciences,3/9,3,9,2025-03-11T21:00:00.000Z,2025,
